"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.02.2026","190,50","199,06","208,85","186,92","81,84K","-5,88%"
"01.01.2026","202,40","198,26","212,65","191,50","323,04K","2,66%"
"01.12.2025","197,16","199,50","205,55","186,68","206,93K","-1,64%"
"01.11.2025","200,45","212,45","225,10","187,06","518,34K","-6,09%"
"01.10.2025","213,45","184,48","219,70","180,00","655,82K","14,44%"
"01.09.2025","186,52","195,20","203,70","185,62","324,88K","-4,66%"
"01.08.2025","195,64","191,04","199,52","182,78","307,53K","-4,19%"
"01.07.2025","204,20","186,00","208,60","185,20","238,67K","8,42%"
"01.06.2025","188,34","178,66","192,00","177,40","242,35K","4,67%"
"01.05.2025","179,94","164,28","192,90","162,40","356,73K","11,99%"
"01.04.2025","160,68","175,92","178,62","143,06","438,27K","-7,42%"
"01.03.2025","173,56","204,65","205,65","170,94","336,50K","-14,06%"
"01.02.2025","201,95","225,45","233,70","194,70","427,42K","-12,20%"
"01.01.2025","230,00","213,65","231,50","208,35","377,73K","8,24%"
"01.12.2024","212,50","197,50","222,25","197,50","337,04K","8,74%"
"01.11.2024","195,42","181,98","205,20","179,28","477,94K","13,64%"
"01.10.2024","171,96","167,52","180,60","164,00","281,96K","3,57%"
"01.09.2024","166,04","161,88","175,12","155,18","277,56K","4,73%"
"01.08.2024","158,54","175,30","177,50","138,00","414,66K","-8,31%"
"01.07.2024","172,90","180,72","186,72","163,50","282,79K","-5,55%"
"01.06.2024","183,06","162,98","186,38","161,74","275,04K","13,69%"
"01.05.2024","161,02","167,56","177,26","160,20","302,16K","-4,95%"
"01.04.2024","169,40","168,50","178,00","155,98","422,87K","1,73%"
"01.03.2024","166,52","164,00","167,96","157,06","334,84K","3,19%"
"01.02.2024","161,38","145,04","162,62","143,94","512,90K","12,07%"
"01.01.2024","144,00","138,00","149,64","131,60","483,78K","5,20%"
"01.12.2023","136,88","134,00","141,80","132,20","392,83K","2,95%"
"01.11.2023","132,96","125,74","136,50","125,60","352,31K","6,16%"
"01.10.2023","125,24","121,26","127,30","112,00","279,43K","3,57%"
"01.09.2023","120,92","127,42","136,54","116,64","364,16K","-4,79%"
"01.08.2023","127,00","121,46","130,22","115,70","519,74K","4,98%"
"01.07.2023","120,98","119,48","121,56","113,60","444,25K","1,43%"
"01.06.2023","119,28","113,44","120,42","111,58","547,87K","6,46%"
"01.05.2023","112,04","93,79","114,50","92,25","90,95K","17,55%"
"01.04.2023","95,31","95,00","99,50","88,54","534,00K","0,51%"
"01.03.2023","94,83","88,62","94,85","82,40","641,28K","7,71%"
"01.02.2023","88,04","95,00","102,60","87,45","811,67K","-6,88%"
"01.01.2023","94,54","78,99","95,25","77,60","763,74K","22,03%"
"01.12.2022","77,47","92,18","92,61","77,11","473,28K","-13,47%"
"01.11.2022","89,53","103,78","105,18","85,91","767,45K","-13,40%"
"01.10.2022","103,38","114,16","123,54","95,48","565,19K","-12,97%"
"01.09.2022","118,78","125,56","135,54","116,00","301,76K","-6,55%"
"01.08.2022","127,10","132,56","142,70","126,84","488,01K","-4,44%"
"01.07.2022","133,00","101,60","135,38","100,64","465,64K","31,14%"
"01.06.2022","101,42","112,97","120,34","97,70","432,03K","-7,45%"
"01.05.2022","109,58","120,33","120,55","94,50","646,90K","-9,10%"
"01.04.2022","120,55","148,32","153,90","119,88","476,38K","-18,86%"
"01.03.2022","148,57","137,57","154,38","122,97","638,58K","8,21%"
"01.02.2022","137,30","132,57","143,28","122,75","670,04K","4,24%"
"01.01.2022","131,72","149,22","151,88","122,30","719,34K","-12,35%"
"01.12.2021","150,28","156,30","158,85","146,60","414,88K","-3,78%"
"01.11.2021","156,18","145,97","166,00","141,75","659,40K","8,05%"
"01.10.2021","144,55","140,75","148,50","136,85","389,54K","1,11%"
"01.09.2021","142,97","147,00","150,12","141,70","305,04K","-1,94%"
"01.08.2021","145,80","141,18","145,80","135,10","399,10K","3,37%"
"01.07.2021","141,05","146,62","159,40","139,38","495,00K","-3,37%"
"01.06.2021","145,97","132,10","147,82","130,90","376,82K","10,50%"
"01.05.2021","132,10","145,22","145,22","128,05","376,00K","-9,24%"
"01.04.2021","145,55","132,55","147,50","132,15","510,70K","10,06%"
"01.03.2021","132,25","130,07","133,95","121,15","465,96K","3,50%"
"01.02.2021","127,78","132,78","144,40","124,50","622,08K","-3,43%"
"01.01.2021","132,32","134,93","138,90","127,00","623,34K","-1,62%"
"01.12.2020","134,50","134,40","136,30","126,75","518,20K","1,95%"
"01.11.2020","131,93","132,43","143,78","127,15","930,88K","0,10%"
"01.10.2020","131,80","135,80","148,43","131,00","708,86K","-3,34%"
"01.09.2020","136,35","144,95","150,00","122,40","778,60K","-5,77%"
"01.08.2020","144,70","135,00","146,22","131,10","530,88K","7,19%"
"01.07.2020","135,00","122,05","147,18","121,50","827,00K","11,11%"
"01.06.2020","121,50","108,35","124,08","107,60","386,20K","12,08%"
"01.05.2020","108,40","105,70","114,83","96,67","312,48K","-2,37%"
"01.04.2020","111,03","88,45","113,25","86,51","567,96K","23,39%"
"01.03.2020","89,98","85,26","93,26","72,24","631,08K","6,70%"
