"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.02.2026","336,8","355,4","362,6","328,4","92,27K","-8,80%"
"01.01.2026","369,3","389,6","394,5","347,9","418,48K","-6,04%"
"01.12.2025","393,0","366,9","424,0","363,8","669,03K","6,13%"
"01.11.2025","370,3","395,9","411,5","327,5","787,37K","-5,78%"
"01.10.2025","393,0","373,0","408,0","354,5","850,15K","5,23%"
"01.09.2025","373,5","286,7","384,0","280,0","852,06K","29,36%"
"01.08.2025","288,7","268,9","306,5","257,5","665,49K","5,46%"
"01.07.2025","273,8","254,2","289,9","246,2","1,01M","0,33%"
"01.06.2025","272,9","299,3","309,7","247,4","1,21M","-14,09%"
"01.05.2025","317,6","248,3","326,7","239,5","1,03M","29,13%"
"01.04.2025","245,9","245,9","259,2","197,0","1,30M","5,33%"
"01.03.2025","233,5","285,8","290,8","199,9","1,33M","-16,05%"
"01.02.2025","278,1","381,1","387,8","263,0","1,11M","-30,49%"
"01.01.2025","400,1","391,9","423,0","360,8","1,36M","-1,53%"
"01.12.2024","406,4","332,8","461,3","330,9","2,11M","26,37%"
"01.11.2024","321,5","230,8","345,2","219,5","2,49M","38,09%"
"01.10.2024","232,9","235,1","252,6","196,2","1,57M","0,15%"
"01.09.2024","232,5","192,9","237,0","187,0","1,18M","22,61%"
"01.08.2024","189,6","215,8","216,0","165,8","1,01M","-11,16%"
"01.07.2024","213,4","185,5","249,0","184,4","2,21M","13,79%"
"01.06.2024","187,6","161,9","189,7","156,4","887,13K","16,08%"
"01.05.2024","161,6","169,0","173,8","156,0","848,78K","-6,22%"
"01.04.2024","172,3","162,5","181,4","130,7","1,33M","4,96%"
"01.03.2024","164,2","186,7","187,5","147,9","1,15M","-10,97%"
"01.02.2024","184,4","175,3","190,8","163,2","814,54K","5,35%"
"01.01.2024","175,1","227,1","229,1","168,2","1,05M","-22,06%"
"01.12.2023","224,6","216,1","238,8","211,5","975,81K","2,18%"
"01.11.2023","219,8","191,3","230,0","187,8","1,08M","17,26%"
"01.10.2023","187,4","238,6","253,4","182,3","1,02M","-21,09%"
"01.09.2023","237,6","238,4","261,8","225,0","1,29M","-0,34%"
"01.08.2023","238,4","243,0","243,9","195,7","1,20M","-1,14%"
"01.07.2023","241,1","252,9","267,2","228,0","1,58M","-0,12%"
"01.06.2023","241,4","189,8","256,0","185,9","2,18M","31,48%"
"01.05.2023","183,6","147,0","190,6","143,8","1,03M","24,73%"
"01.04.2023","147,2","190,0","193,8","137,9","1,01M","-20,91%"
"01.03.2023","186,1","195,1","196,4","153,3","1,79M","-4,05%"
"01.02.2023","194,0","160,0","203,9","155,9","2,94M","22,00%"
"01.01.2023","159,0","116,5","170,0","96,3","2,95M","39,67%"
"01.12.2022","113,8","186,1","189,0","98,0","1,15M","-35,71%"
"01.11.2022","177,1","230,0","238,5","161,3","756,29K","-22,70%"
"01.10.2022","229,1","269,5","271,0","201,6","682,40K","-18,20%"
"01.09.2022","280,0","272,0","313,5","267,9","482,59K","3,11%"
"01.08.2022","271,5","287,5","309,5","270,6","747,06K","-3,57%"
"01.07.2022","281,6","214,9","283,9","210,2","704,90K","30,49%"
"01.06.2022","215,8","237,0","243,3","201,7","781,11K","-8,16%"
"01.05.2022","235,0","283,3","300,0","193,3","1,16M","-18,29%"
"01.04.2022","287,6","326,7","350,0","260,7","854,56K","-12,53%"
"01.03.2022","328,8","262,0","340,5","228,9","1,45M","27,20%"
"01.02.2022","258,5","280,0","282,7","206,6","1,21M","-5,81%"
"01.01.2022","274,4","320,2","357,4","236,7","2,10M","-13,86%"
"01.12.2021","318,6","340,7","344,4","262,0","1,44M","-4,66%"
"01.11.2021","334,1","325,7","360,1","284,7","2,20M","6,12%"
"01.10.2021","314,9","222,3","315,7","219,7","1,74M","39,34%"
"01.09.2021","226,0","207,9","227,6","200,0","875,97K","8,52%"
"01.08.2021","208,2","193,7","209,0","187,8","681,45K","7,91%"
"01.07.2021","193,0","192,9","197,1","174,7","703,24K","-0,53%"
"01.06.2021","194,0","170,5","194,7","157,1","957,07K","14,34%"
"01.05.2021","169,7","195,2","196,6","148,7","1,49M","-12,63%"
"01.04.2021","194,2","189,9","219,3","183,0","1,26M","3,72%"
"01.03.2021","187,2","190,7","200,7","152,0","2,58M","-1,70%"
"01.02.2021","190,5","224,7","244,2","170,4","1,60M","-15,29%"
"01.01.2021","224,8","193,3","247,4","189,0","2,14M","21,68%"
"01.12.2020","184,8","163,7","186,3","148,0","2,32M","14,68%"
"01.11.2020","161,1","111,3","168,7","110,5","1,99M","43,96%"
"01.10.2020","111,9","123,4","131,2","108,2","1,07M","-7,89%"
"01.09.2020","121,5","146,6","151,4","91,7","2,99M","-11,31%"
"01.08.2020","137,0","83,0","138,6","77,4","1,75M","64,80%"
"01.07.2020","83,1","63,2","105,0","63,0","1,55M","31,03%"
"01.06.2020","63,4","51,3","63,4","49,9","994,38K","30,33%"
"01.05.2020","48,7","43,4","51,7","41,7","749,09K","-3,64%"
"01.04.2020","50,5","30,9","53,6","28,8","1,83M","56,59%"
"01.03.2020","32,3","42,3","48,5","21,7","2,35M","-18,66%"
